SampleID,notes,sampling date,sampling time,movement,Station_start,Station_end,sample type,medium,Station,ecosystem,depth,filtration,pore size,replicate,time,bottle,filter type,time point,Season,Latitude,Longitude,depth_class,depth_category,Sampling_month,depth_m,eligible_for_ctd,ctd_ctd_depth_m,depth_diff,ctd_sal,ctd_temp,ctd_fluor,ctd_oxygen2,ctd_oxygen,ctd_pres,ctd_theta,ctd_ctd_file
20250414-ESBf200a,NA,04.14.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,active,0.22,1,0,NA,disk,2,Spring,36.8105,-121.7827,NA,NA,Apr.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250414-ESBf200b,NA,04.14.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,active,0.22,2,0,NA,disk,2,Spring,36.8105,-121.7827,NA,NA,Apr.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-M1-Blnk,MolGrad H20,04.17.2025,NA,NA,NA,NA,blank,NA,M1,marine,NA,active,0.22,NA,NA,NA,Sterivex,2,Spring,36.74166667,-122.0268333,NA,NA,Apr.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-MARS-Blnk,MolGrad H20,04.17.2025,NA,NA,NA,NA,blank,NA,MARS,marine,NA,active,0.22,NA,NA,NA,Sterivex,2,Spring,36.743,-122.1068333,NA,NA,Apr.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250417-OSWS-Blnk,MolGrad H20,04.17.2025,13:20:00,NA,NA,NA,blank,NA,OSWS,marine,NA,passive,20,NA,NA,NA,Sterivex,2,Spring,36.6775,-122.5351667,NA,NA,Apr.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250418-C1-Blnk,NA,04.18.2025,NA,NA,NA,NA,blank,NA,C1,marine,NA,active,0.22,NA,NA,NA,Sterivex,2,Spring,36.8045,-121.858,NA,NA,Apr.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250418-M2-Blnk,NA,04.18.2025,NA,NA,NA,NA,blank,NA,M2,marine,NA,active,0.22,NA,NA,NA,Sterivex,2,Spring,36.7015,-122.3743333,NA,NA,Apr.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202507-control,"instead of 23c, MolGrade H20",07.22.2025,03:05:00,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,active,0.22,1,NA,NA,disk,3,Summer,36.8117,-121.77959,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250722-ESe-8,20250722_blank_8: new control dry in lab,07.22.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,NA,0.22,5,NA,NA,disk,3,Summer,NA,NA,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20250723-M1-Blnk,MolGrad H20,07.23.2025,NA,NA,NA,NA,blank,NA,M1,marine,NA,active,0.22,1,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,NA,NA,Jul.25,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
