,SampleID,notes,sampling date,sampling time,movement,Station_start,Station_end,sample type,medium,Station,ecosystem,depth,filtration,pore size,replicate,time,bottle,filter type,time point,Season,Latitude,Longitude,depth_class,depth_category,Sampling_month,Sample,depth_m,eligible_for_ctd,ctd_ctd_depth_m,depth_diff,ctd_sal,ctd_temp,ctd_fluor,ctd_oxygen2,ctd_oxygen,ctd_pres,ctd_theta,ctd_ctd_file
1,20250414-ESBf200a,NA,04.14.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,active,0.22,1,0,NA,disk,2,Spring,36.8105,-121.7827,NA,NA,Apr.25,20250414-ESBf200a,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,20250414-ESBf200b,NA,04.14.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,active,0.22,2,0,NA,disk,2,Spring,36.8105,-121.7827,NA,NA,Apr.25,20250414-ESBf200b,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,20250417-M1-Blnk,MolGrad H20,04.17.2025,NA,NA,NA,NA,blank,NA,M1,marine,NA,active,0.22,NA,NA,NA,Sterivex,2,Spring,36.74166667,-122.0268333,NA,NA,Apr.25,20250417-M1-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,20250417-MARS-Blnk,MolGrad H20,04.17.2025,NA,NA,NA,NA,blank,NA,MARS,marine,NA,active,0.22,NA,NA,NA,Sterivex,2,Spring,36.743,-122.1068333,NA,NA,Apr.25,20250417-MARS-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,20250417-OSWS-Blnk,MolGrad H20,04.17.2025,13:20:00,NA,NA,NA,blank,NA,OSWS,marine,NA,passive,20,NA,NA,NA,Sterivex,2,Spring,36.6775,-122.5351667,NA,NA,Apr.25,20250417-OSWS-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,20250418-C1-Blnk,NA,04.18.2025,NA,NA,NA,NA,blank,NA,C1,marine,NA,active,0.22,NA,NA,NA,Sterivex,2,Spring,36.8045,-121.858,NA,NA,Apr.25,20250418-C1-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,20250418-M2-Blnk,NA,04.18.2025,NA,NA,NA,NA,blank,NA,M2,marine,NA,active,0.22,NA,NA,NA,Sterivex,2,Spring,36.7015,-122.3743333,NA,NA,Apr.25,20250418-M2-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,202507-control,"instead of 23c, MolGrade H20",07.22.2025,03:05:00,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,active,0.22,1,NA,NA,disk,3,Summer,36.8117,-121.77959,NA,NA,Jul.25,202507-control,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,20250722-ESe-8,20250722_blank_8: new control dry in lab,07.22.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,NA,0.22,5,NA,NA,disk,3,Summer,NA,NA,NA,NA,Jul.25,20250722-ESe-8,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,20250723-M1-Blnk,MolGrad H20,07.23.2025,NA,NA,NA,NA,blank,NA,M1,marine,NA,active,0.22,1,NA,NA,Sterivex,3,Summer,36.74166667,-122.0268333,NA,NA,Jul.25,20250723-M1-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,20250723-M1-torp-ctrl,"blank, dry filter",07.23.2025,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,20,1,NA,NA,disk,3,Summer,36.74166667,-122.0268333,NA,NA,Jul.25,20250723-M1-torp-ctrl,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,20250723-ML-M1-air-ctrl,mainland to M1,07.23.2025,NA,NA,ML,M1,blank,air,M1,marine,NA,passive,0.22,1,NA,NA,disk,3,Summer,36.74166667,-122.0268333,NA,NA,Jul.25,20250723-ML-M1-air-ctrl,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,20250723-OSWS-BLNK,MolGrad H20,07.23.2025,NA,NA,NA,NA,blank,NA,OSWS,marine,NA,active,0.22,1,NA,NA,Sterivex,3,Summer,36.6775,-122.53517,NA,NA,Jul.25,20250723-OSWS-BLNK,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,20250724-C1-air-st-blank,NA,07.24.2025,NA,NA,NA,NA,blank,air,C1,NA,NA,NA,NA,NA,NA,NA,disk,3,Summer,36.8045,-121.858,NA,NA,Jul.25,20250724-C1-air-st-blank,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,20250724-C1-Blnk,MolGrad H20,07.24.2025,NA,NA,NA,NA,blank,NA,C1,marine,NA,active,0.22,1,NA,NA,Sterivex,3,Summer,36.8045,-121.858,NA,NA,Jul.25,20250724-C1-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,20250724-M2-Blnk,MolGrad H20,07.24.2025,NA,NA,NA,NA,blank,NA,M2,marine,NA,active,20,1,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,NA,NA,Jul.25,20250724-M2-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,20250724-M2-torp-blank,dry filter,07.24.2025,NA,NA,NA,NA,blank,NA,M2,marine,NA,passive,20,1,NA,NA,Sterivex,3,Summer,36.7015,-122.3743333,NA,NA,Jul.25,20250724-M2-torp-blank,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,20250724-MARS-Blnk,MolGrad H20,07.24.2025,NA,NA,NA,NA,blank,NA,MARS,marine,NA,NA,0.22,1,NA,NA,Sterivex,3,Summer,36.743,-122.1068333,NA,NA,Jul.25,20250724-MARS-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,20251027-Blank-f020,"dry, torp",10.27.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,NA,NA,NA,0.22,1,NA,NA,disk,4,Autumn,36.7502,-122.0495,NA,NA,Oct.25,20251027-Blank-f020,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20251027-ES-blank,MolGrad H20,10.27.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,active,0.22,1,NA,NA,Sterivex,4,Autumn,36.8105,-121.7827,NA,NA,Oct.25,20251027-ES-blank,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,20252810-C1-Blnk,MolGrad H20,10.28.2025,NA,NA,NA,NA,blank,NA,C1,marine,NA,active,0.22,1,NA,NA,Sterivex,4,Autumn,36.8,-121.8562,NA,NA,Oct.25,20252810-C1-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,20252910-M1-BLANK,MolGrad H20,10.28.2025,NA,NA,NA,NA,blank,NA,M1,marine,NA,active,0.22,1,NA,NA,Sterivex,4,Autumn,36.7502,-122.0495,NA,NA,Oct.25,20252910-M1-BLANK,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,20252910-M1-torp-ctrl,torp,10.28.2025,NA,NA,NA,NA,blank,NA,M1,NA,NA,passive,20,1,NA,NA,disk,4,Autumn,36.7502,-122.0495,NA,NA,Oct.25,20252910-M1-torp-ctrl,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,20252910-M2-Blnk,torp,10.29.2025,NA,NA,NA,NA,blank,NA,M2,marine,NA,active,20,1,NA,NA,Sterivex,4,Autumn,36.713,-122.304,NA,NA,Oct.25,20252910-M2-Blnk,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,20252910-MARS-airBLANK,NA,10.29.2025,NA,NA,NA,NA,blank,NA,MARS,marine,NA,passive,0.22,3,NA,NA,disk,4,Autumn,36.721,-122.1903,NA,NA,Oct.25,20252910-MARS-airBLANK,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,20252910-MARS-torp-BLANK,torp,10.29.2025,NA,NA,NA,NA,blank,NA,MARS,NA,NA,NA,20,NA,NA,NA,disk,4,Autumn,36.721,-122.1903,NA,NA,Oct.25,20252910-MARS-torp-BLANK,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,20252910-ML-M1-air-ctrl,mainland to M1,10.28.2025,NA,NA,NA,NA,blank,NA,M1,marine,NA,passive,0.22,1,NA,NA,disk,4,Autumn,36.7502,-122.0495,NA,NA,Oct.25,20252910-ML-M1-air-ctrl,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Es-5,20250722_blank_5 old filters in lab,07.22.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,NA,0.22,2,NA,NA,disk,3,Summer,NA,NA,NA,NA,Jul.25,Es-5,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Es-6,20250722_blank_6 new control brought to field,07.22.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,NA,0.22,3,NA,NA,disk,3,Summer,NA,NA,NA,NA,Jul.25,Es-6,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Es-7,20250722_blank_7: new control dry in lab,07.22.2025,NA,NA,NA,NA,blank,NA,Elkhorn Slough,estuary,NA,NA,0.22,4,NA,NA,disk,3,Summer,NA,NA,NA,NA,Jul.25,Es-7,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Extraction-Blank_2025-04,negativ extraction control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extraction-Blank_2025-04,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Extraction-Blank_2025-07,negativ extraction control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extraction-Blank_2025-07,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,MARS-BLANK,"handwritten, MolGrad H20",10.29.2025,NA,NA,NA,NA,blank,NA,MARS,marine,NA,active,0.22,1,NA,NA,Sterivex,4,Autumn,36.721,-122.1903,NA,NA,Oct.25,MARS-BLANK,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NTC_2025-04,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NTC_2025-04,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NTC_2025-07,negativ extraction control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NTC_2025-07,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NTC_S13,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NTC_S13,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NTC_S258,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NTC_S258,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,POS_2025-04,positive sequencing control lab,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POS_2025-04,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,POS_2025-07,positive sequencing control lab,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,POS_2025-07,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,XB,negativ sequencing control,NA,NA,NA,NA,NA,blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XB,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
