"","SampleID","notes","sampling date","sampling time","movement","Station_start","Station_end","sample type","medium","Station","ecosystem","depth.x","filtration","pore size","replicate","time","bottle","filter type","time point","Season","Latitude.x","Longitude.x","depth_chr","depth_num","Sampling_month","depth.y","pressure","temperature","temperature2","conductivity","conductivity2","salinity","salinity2","beamAttenuation","fluorescence","oxygen","oxygen2","oxygen3","flag","File","Latitude.y","Longitude.y","system_upload_time_chr","system_upload_time","depth_diff"
"1","20250722-ESe19a","torp","07.22.2025",11:50:00,"transition",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","passive","20","1","1",19,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2","20250722-ESe19a-2","torp","07.22.2025",11:50:00,"transition",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","passive","20","1","1",19,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3","20250722-ESe19b","torp","07.22.2025",11:50:00,"transition",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","passive","20","2","1",19,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4","20250722-ESe20a",NA,"07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","1",NA,19,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5","20250722-ESe20b",NA,"07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","2",NA,20,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"6","20250722-ESe20c",NA,"07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","3",NA,20,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7","20250722-ESe21a",NA,"07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","1",NA,20,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"8","20250722-ESe21b",NA,"07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","2",NA,21,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"9","20250722-ESe21c",NA,"07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","3",NA,21,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10","20250722-ESe22a",NA,"07.22.2025",11:50:00,"stationary",NA,NA,"eDNA","water","ELKHORN SLOUGH","estuary","0","active","0.22","1",NA,21,"disk",3,"Summer2025",36.8117,-121.77959,"0",0,"July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
